Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,CV_Best_F1
Logistic_Regression,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9864417989417988,0.961063014964702
Decision_Tree,0.9385964912280702,0.926829268292683,0.9047619047619048,0.9156626506024096,0.9424603174603174,0.9166715406592111
Random_Forest,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.996031746031746,0.9564888894384745
SVM,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9927248677248677,0.9647417647251947
KNN,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.982473544973545,0.9563081053114756
Naive_Bayes,0.9210526315789473,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9890873015873015,0.916038360235024
Gradient_Boosting,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9976851851851852,0.9500691166446895
XGBoost,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9930555555555555,0.9586415747350205
